dataset, median, 90th, 95th, 99th, max, mean, mse, mape, pccs, , query_dur_ms
cols_2_distinct_10_corr_2_skew_2, 1.0185001360954713, 1.0647870425914816, 1.0975461981217813, 1.105595084087969, 1.1070504527813714, 1.026327832554442, 31864.811, 2.569565474432146, (0.9999587989695765, 0.0), 2.8080251216888428
cols_2_distinct_10_corr_2_skew_4, 1.0120967741935485, 1.0426831227722597, 1.0470970361347949, 1.0644756959469204, 1.0697802197802198, 1.015663531261517, 13427.276, 1.5441389209093814, (0.9999833714831482, 0.0), 3.0691978931427
cols_2_distinct_10_corr_2_skew_6, 1.0108014120870437, 1.054137323943662, 1.0653671548982255, 1.0952380952380953, 1.0952380952380953, 1.0204851460460098, 20108.758, 2.0157979860942037, (0.999976243369715, 0.0), 2.86771297454834
cols_2_distinct_10_corr_2_skew_8, 1.0179640718562875, 1.0676959619952493, 1.1055555555555554, 2.0, 2.0, 1.0450105873087454, 24587.352, 4.4646247336948734, (0.9999730469652335, 0.0), 3.5302205085754395
cols_2_distinct_10_corr_4_skew_2, 1.0295670124643967, 1.069001074113856, 1.0869297163995069, 1.1238670694864048, 1.1238670694864048, 1.0339793657901442, 51648.585, 3.3076130727664603, (0.9999298867105688, 0.0), 2.8607335090637207
cols_2_distinct_10_corr_4_skew_4, 1.0163979758267456, 1.0519436997319034, 1.0666666666666667, 1.097672064777328, 1.097672064777328, 1.0228825007305424, 17524.59, 2.2373761584084004, (0.9999782382317433, 0.0), 2.7528460025787354
cols_2_distinct_10_corr_4_skew_6, 1.0243255196815568, 1.099526066350711, 1.111842105263158, 1.3333333333333333, 1.3333333333333333, 1.0382870277032996, 34771.665, 3.6849398928383876, (0.9999624432069888, 0.0), 2.8198907375335693
cols_2_distinct_10_corr_4_skew_8, 1.0263289869608827, 1.106508875739645, 1.3380952380952338, 1.75, 1.75, 1.06217781026321, 54021.118, 6.102219844088649, (0.9999539559662662, 0.0), 2.773519277572632
cols_2_distinct_10_corr_6_skew_2, 1.0282318259467158, 1.1333930170098478, 1.1749460043196545, 1.265, 1.265, 1.0484682297282144, 97199.187, 4.437683170071173, (0.999894425857219, 0.0), 2.8525965213775635
cols_2_distinct_10_corr_6_skew_4, 1.0243714479833546, 1.0976491862567812, 1.1353233462876402, 1.250467289719626, 1.250467289719626, 1.0412778005790326, 84889.846, 3.866042824221473, (0.999908085867646, 0.0), 2.8062283992767334
cols_2_distinct_10_corr_6_skew_6, 1.0382244873770297, 1.1293103448275863, 1.146153846153846, 1.3333333333333333, 1.3333333333333333, 1.0531270487690017, 215880.533, 5.004012979442527, (0.9998097672661662, 0.0), 2.825944185256958
cols_2_distinct_10_corr_6_skew_8, 1.0339887640449439, 1.1326996188957097, 1.25, 1.6, 2.0, 1.0766585509813122, 191376.315, 7.521107524200886, (0.9998491060418874, 0.0), 2.7065913677215576
cols_2_distinct_10_corr_8_skew_2, 1.0293086970372731, 1.1261422303666766, 1.1433823529411764, 1.1444805194805194, 1.4052863436123348, 1.051024833744846, 18511.013, 5.008417952827346, (0.999984292169239, 0.0), 2.7397351264953613
cols_2_distinct_10_corr_8_skew_4, 1.0293040293040292, 1.1586715867158672, 1.2321187584345479, 1.3522727272727273, 1.3522727272727273, 1.0613175347509591, 14134.188, 5.955157804989017, (0.9999871290020739, 0.0), 2.8232288360595703
cols_2_distinct_10_corr_8_skew_6, 1.0310880829015545, 1.1569186875891584, 1.1964705882352942, 1.4218421052631571, 1.5, 1.0646781695030711, 9383.211, 6.247179017630164, (0.9999921922157745, 0.0), 2.793929100036621
cols_2_distinct_10_corr_8_skew_8, 1.0728865030456816, 1.2159090909090908, 1.25, 2.5, 2.5, 1.1238114901140865, 106271.847, 12.361079297050596, (0.9999497544648843, 0.0), 2.7024917602539062
cols_2_distinct_100_corr_2_skew_2, 1.022302604044084, 1.1311880059705444, 1.1852278567757408, 1.2867924528301886, 1.575268817204301, 1.0500784122362448, 23582.79, 4.739861585566316, (0.9999671471371379, 0.0), 3.5248634815216064
cols_2_distinct_100_corr_2_skew_4, 1.023396871945259, 1.1415094339622642, 1.206646174863388, 1.5416666666666667, 2.0, 1.0598047259375953, 15645.78, 5.539141037693215, (0.9999800494748062, 0.0), 2.711341142654419
cols_2_distinct_100_corr_2_skew_6, 1.0189854852281226, 1.1310344827586207, 1.1821493624772312, 1.4583333333333333, 2.0, 1.0522347505105683, 17230.156, 4.871377006157162, (0.999980611591036, 0.0), 3.1868486404418945
