2020-12-10 00:32:13,274 [INFO ]  maqp(evaluate_cardinalities: database_name=None, target_path=./baselines/cardinality_estimation/results/deepDB/imdb_light_model_based_budget_5.csv)
2020-12-10 00:32:13,744 [DEBUG]  Including SPN with table_set {'title', 'movie_info', 'movie_companies'} with sampling ratio(1000000 / 67371414)
2020-12-10 00:32:13,745 [DEBUG]  Including SPN with table_set {'title', 'movie_info_idx', 'movie_companies'} with sampling ratio(1000000 / 4073078)
2020-12-10 00:32:13,745 [DEBUG]  Including SPN with table_set {'title', 'movie_companies'} with sampling ratio(4050205 / 2609129)
2020-12-10 00:32:13,745 [DEBUG]  Including SPN with table_set {'cast_info', 'title'} with sampling ratio(10000000 / 36244344)
2020-12-10 00:32:13,745 [DEBUG]  Including SPN with table_set {'title', 'movie_info'} with sampling ratio(10000000 / 14835720)
2020-12-10 00:32:13,745 [DEBUG]  Including SPN with table_set {'movie_keyword'} with sampling ratio(4523930 / 4523930)
2020-12-10 00:32:13,745 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035)
2020-12-10 00:32:13,746 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id;
2020-12-10 00:32:13,758 [DEBUG]  		Latency: 5.42ms
2020-12-10 00:32:13,758 [DEBUG]  		True: 11637
2020-12-10 00:32:13,758 [DEBUG]  		Predicted: 2372567.1505535785
2020-12-10 00:32:13,758 [DEBUG]  Q-Error was: 203.88133973993112
2020-12-10 00:32:13,758 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.season_nr<1;
