2020-12-18 18:43:32,685 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=./baselines/cardinality_estimation/results/deepDB/imdb_ranges_model_based_budget_5.csv)
2020-12-18 18:43:33,288 [DEBUG]  Including SPN with table_set {'movie_info', 'movie_companies', 'title'} with sampling ratio(1000000 / 67371414)
2020-12-18 18:43:33,288 [DEBUG]  Including SPN with table_set {'movie_info', 'movie_keyword', 'title'} with sampling ratio(1000000 / 235420417)
2020-12-18 18:43:33,288 [DEBUG]  Including SPN with table_set {'movie_keyword', 'title', 'movie_info_idx'} with sampling ratio(1000000 / 10424626)
2020-12-18 18:43:33,288 [DEBUG]  Including SPN with table_set {'movie_keyword', 'title'} with sampling ratio(6575448 / 4523930)
2020-12-18 18:43:33,289 [DEBUG]  Including SPN with table_set {'movie_companies', 'title'} with sampling ratio(4050205 / 2609129)
2020-12-18 18:43:33,289 [DEBUG]  Including SPN with table_set {'movie_info', 'title'} with sampling ratio(10000000 / 14835720)
2020-12-18 18:43:33,289 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344)
2020-12-18 18:43:33,289 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035)
2020-12-18 18:43:33,289 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=2 AND t.series_years>=1341 AND t.production_year<=2004.0;
2020-12-18 18:43:33,321 [DEBUG]  		Latency: 25.07ms
2020-12-18 18:43:33,321 [DEBUG]  		True: 715
2020-12-18 18:43:33,321 [DEBUG]  		Predicted: 2710.468487645316
2020-12-18 18:43:33,321 [DEBUG]  Q-Error was: 3.790865017685757
2020-12-18 18:43:33,321 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code=16774 AND mc.company_type_id=1 AND mi_idx.info_type_id=101 AND t.kind_id=1;
2020-12-18 18:43:33,351 [DEBUG]  		Latency: 23.98ms
2020-12-18 18:43:33,351 [DEBUG]  		True: 9
2020-12-18 18:43:33,351 [DEBUG]  		Predicted: 48.403339704872366
2020-12-18 18:43:33,351 [DEBUG]  Q-Error was: 5.37814885609693
2020-12-18 18:43:33,351 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=4 AND t.phonetic_code<=16925 AND mc.company_type_id=1 AND t.production_year>=1987.0;
2020-12-18 18:43:33,383 [DEBUG]  		Latency: 26.30ms
2020-12-18 18:43:33,384 [DEBUG]  		True: 47
2020-12-18 18:43:33,384 [DEBUG]  		Predicted: 40958.1613842907
2020-12-18 18:43:33,384 [DEBUG]  Q-Error was: 871.4502422189511
2020-12-18 18:43:33,384 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year<=2012.0 AND t.season_nr=2.0 AND t.episode_nr>=8.0 AND t.phonetic_code>=12168 AND mi_idx.info_type_id=101 AND mc.company_type_id=1;
2020-12-18 18:43:33,421 [DEBUG]  		Latency: 30.70ms
2020-12-18 18:43:33,421 [DEBUG]  		True: 16
2020-12-18 18:43:33,421 [DEBUG]  		Predicted: 2298.3870448961748
2020-12-18 18:43:33,421 [DEBUG]  Q-Error was: 143.64919030601092
2020-12-18 18:43:33,421 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>=1983.0 AND t.episode_nr<=22.0 AND t.season_nr>=7.0;
2020-12-18 18:43:33,450 [DEBUG]  		Latency: 23.32ms
2020-12-18 18:43:33,450 [DEBUG]  		True: 148552
2020-12-18 18:43:33,450 [DEBUG]  		Predicted: 43538.68003795641
2020-12-18 18:43:33,450 [DEBUG]  Q-Error was: 3.411954608419329
2020-12-18 18:43:33,450 [DEBUG]  Predicting cardinality for query 5: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year>=1956.0 AND mc.company_type_id=2 AND mi_idx.info_type_id=101 AND t.kind_id=1;
2020-12-18 18:43:33,483 [DEBUG]  		Latency: 26.67ms
2020-12-18 18:43:33,483 [DEBUG]  		True: 62682311
2020-12-18 18:43:33,483 [DEBUG]  		Predicted: 171528.01746994973
2020-12-18 18:43:33,483 [DEBUG]  Q-Error was: 365.4348247275779
2020-12-18 18:43:33,483 [DEBUG]  Predicting cardinality for query 6: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year<=2002.0 AND t.kind_id=1 AND mc.company_type_id=1 AND mi_idx.info_type_id=101 AND t.phonetic_code<=18966;
2020-12-18 18:43:33,516 [DEBUG]  		Latency: 27.39ms
2020-12-18 18:43:33,517 [DEBUG]  		True: 11990578
2020-12-18 18:43:33,517 [DEBUG]  		Predicted: 119319.47987022904
2020-12-18 18:43:33,517 [DEBUG]  Q-Error was: 100.49137000128447
2020-12-18 18:43:33,517 [DEBUG]  Predicting cardinality for query 7: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code<=7355 AND t.kind_id=1 AND t.production_year<=1917.0 AND mi_idx.info_type_id=100 AND mc.company_type_id=1;
2020-12-18 18:43:33,550 [DEBUG]  		Latency: 26.76ms
2020-12-18 18:43:33,550 [DEBUG]  		True: 157041640
2020-12-18 18:43:33,550 [DEBUG]  		Predicted: 1835.4045256507472
2020-12-18 18:43:33,550 [DEBUG]  Q-Error was: 85562.41297504728
2020-12-18 18:43:33,550 [DEBUG]  Predicting cardinality for query 8: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=1 AND t.production_year=2005.0 AND t.phonetic_code>=1346 AND t.kind_id=1;
2020-12-18 18:43:33,581 [DEBUG]  		Latency: 25.59ms
2020-12-18 18:43:33,581 [DEBUG]  		True: 850677
2020-12-18 18:43:33,581 [DEBUG]  		Predicted: 21277.593398745386
2020-12-18 18:43:33,581 [DEBUG]  Q-Error was: 39.97994435076287
2020-12-18 18:43:33,582 [DEBUG]  Predicting cardinality for query 9: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=1 AND t.kind_id=1 AND t.phonetic_code<=5575 AND mi_idx.info_type_id=99;
2020-12-18 18:43:33,610 [DEBUG]  		Latency: 23.02ms
2020-12-18 18:43:33,610 [DEBUG]  		True: 179616
2020-12-18 18:43:33,610 [DEBUG]  		Predicted: 62315.945799871115
2020-12-18 18:43:33,610 [DEBUG]  Q-Error was: 2.882344120666006
2020-12-18 18:43:33,610 [DEBUG]  Predicting cardinality for query 10: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=3 AND mc.company_type_id=2 AND mi_idx.info_type_id=99 AND t.production_year>=1974.0;
2020-12-18 18:43:33,643 [DEBUG]  		Latency: 26.42ms
2020-12-18 18:43:33,643 [DEBUG]  		True: 2031666
2020-12-18 18:43:33,643 [DEBUG]  		Predicted: 21742.35089207277
2020-12-18 18:43:33,643 [DEBUG]  Q-Error was: 93.44279328785659
2020-12-18 18:43:33,643 [DEBUG]  Predicting cardinality for query 11: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code=13483 AND t.production_year<=2003.0 AND mi_idx.info_type_id=100;
2020-12-18 18:43:33,674 [DEBUG]  		Latency: 25.38ms
2020-12-18 18:43:33,674 [DEBUG]  		True: 6333736
2020-12-18 18:43:33,674 [DEBUG]  		Predicted: 831.5089882935911
2020-12-18 18:43:33,674 [DEBUG]  Q-Error was: 7617.158791028811
2020-12-18 18:43:33,674 [DEBUG]  Predicting cardinality for query 12: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2005.0 AND mc.company_type_id=1 AND t.phonetic_code=1441 AND t.kind_id=1 AND mi_idx.info_type_id=100;
2020-12-18 18:43:33,708 [DEBUG]  		Latency: 28.45ms
2020-12-18 18:43:33,709 [DEBUG]  		True: 1931628
2020-12-18 18:43:33,709 [DEBUG]  		Predicted: 1.0
2020-12-18 18:43:33,709 [DEBUG]  Q-Error was: 1931628.0
2020-12-18 18:43:33,709 [DEBUG]  Predicting cardinality for query 13: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=101 AND t.production_year=1988.0 AND t.phonetic_code<=18361 AND t.kind_id=3 AND mc.company_type_id=1;
2020-12-18 18:43:33,742 [DEBUG]  		Latency: 27.69ms
2020-12-18 18:43:33,743 [DEBUG]  		True: 12738520
2020-12-18 18:43:33,743 [DEBUG]  		Predicted: 337.510434494123
2020-12-18 18:43:33,743 [DEBUG]  Q-Error was: 37742.596074379486
2020-12-18 18:43:33,743 [DEBUG]  Predicting cardinality for query 14: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.season_nr<=1.0 AND t.production_year<=2008.0 AND mi_idx.info_type_id=100;
2020-12-18 18:43:33,776 [DEBUG]  		Latency: 27.81ms
2020-12-18 18:43:33,776 [DEBUG]  		True: 1224
2020-12-18 18:43:33,776 [DEBUG]  		Predicted: 43493.45904271019
2020-12-18 18:43:33,776 [DEBUG]  Q-Error was: 35.533871766920086
2020-12-18 18:43:33,777 [DEBUG]  Predicting cardinality for query 15: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_type_id=2 AND mi_idx.info_type_id=99 AND t.kind_id=1 AND t.production_year>=1999.0;
2020-12-18 18:43:33,816 [DEBUG]  		Latency: 30.33ms
2020-12-18 18:43:33,817 [DEBUG]  		True: 13221
2020-12-18 18:43:33,817 [DEBUG]  		Predicted: 105450.31127302087
2020-12-18 18:43:33,817 [DEBUG]  Q-Error was: 7.975970900311691
2020-12-18 18:43:33,817 [DEBUG]  Predicting cardinality for query 16: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.production_year=1924.0 AND mi_idx.info_type_id=101 AND mc.company_type_id=1 AND t.phonetic_code>=9895;
2020-12-18 18:43:33,846 [DEBUG]  		Latency: 23.64ms
2020-12-18 18:43:33,846 [DEBUG]  		True: 33
2020-12-18 18:43:33,846 [DEBUG]  		Predicted: 269.7874017279804
2020-12-18 18:43:33,846 [DEBUG]  Q-Error was: 8.1753758099388
2020-12-18 18:43:33,846 [DEBUG]  Predicting cardinality for query 17: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code>=1257 AND t.production_year=1933.0 AND mi_idx.info_type_id=99 AND mc.company_type_id=1 AND t.kind_id=1;
2020-12-18 18:43:33,880 [DEBUG]  		Latency: 28.26ms
2020-12-18 18:43:33,880 [DEBUG]  		True: 1224
2020-12-18 18:43:33,881 [DEBUG]  		Predicted: 724.9505388578305
2020-12-18 18:43:33,881 [DEBUG]  Q-Error was: 1.6883910479305648
2020-12-18 18:43:33,881 [DEBUG]  Predicting cardinality for query 18: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=100 AND t.phonetic_code>=17192 AND mc.company_type_id=2 AND t.production_year<=2007.0 AND t.kind_id=1;
2020-12-18 18:43:33,916 [DEBUG]  		Latency: 29.01ms
2020-12-18 18:43:33,916 [DEBUG]  		True: 114182642
2020-12-18 18:43:33,916 [DEBUG]  		Predicted: 24508.715327974744
2020-12-18 18:43:33,916 [DEBUG]  Q-Error was: 4658.858715033081
2020-12-18 18:43:33,916 [DEBUG]  Predicting cardinality for query 19: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.episode_nr=5.0 AND t.kind_id=7 AND mc.company_type_id=1 AND t.phonetic_code<=6519;
2020-12-18 18:43:33,947 [DEBUG]  		Latency: 25.27ms
2020-12-18 18:43:33,947 [DEBUG]  		True: 4533382
2020-12-18 18:43:33,947 [DEBUG]  		Predicted: 5489.709633056717
2020-12-18 18:43:33,947 [DEBUG]  Q-Error was: 825.7963176598421
2020-12-18 18:43:33,947 [DEBUG]  Predicting cardinality for query 20: SELECT COUNT(*) FROM movie_companies mc, movie_info_idx mi_idx, title t WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.phonetic_code<=1778 AND mi_idx.info_type_id=100 AND t.production_year>=2010.0 AND t.kind_id=1 AND mc.company_type_id=2;
2020-12-18 18:43:33,983 [DEBUG]  		Latency: 29.37ms
2020-12-18 18:43:33,983 [DEBUG]  		True: 695701
2020-12-18 18:43:33,983 [DEBUG]  		Predicted: 3100.3614560165665
2020-12-18 18:43:33,983 [DEBUG]  Q-Error was: 224.39351342403046
