2020-12-18 15:11:33,805 [INFO ]  maqp(evaluate_cardinalities: database_name=imdb, target_path=../ssb-benchmark/results)
2020-12-18 15:11:33,972 [DEBUG]  Including SPN with table_set {'title'} with sampling ratio(2528312 / 2528312.0)
2020-12-18 15:11:33,972 [DEBUG]  Including SPN with table_set {'movie_info_idx'} with sampling ratio(1380035 / 1380035.0)
2020-12-18 15:11:33,972 [DEBUG]  Including SPN with table_set {'movie_info'} with sampling ratio(10000000 / 14835720.0)
2020-12-18 15:11:33,972 [DEBUG]  Including SPN with table_set {'cast_info'} with sampling ratio(10000000 / 36244344.0)
2020-12-18 15:11:33,972 [DEBUG]  Including SPN with table_set {'movie_keyword'} with sampling ratio(4523930 / 4523930.0)
2020-12-18 15:11:33,972 [DEBUG]  Including SPN with table_set {'movie_companies'} with sampling ratio(2609129 / 2609129.0)
2020-12-18 15:11:33,972 [DEBUG]  Predicting cardinality for query 0: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2;
2020-12-18 15:11:33,983 [DEBUG]  		Latency: 3.99ms
2020-12-18 15:11:33,983 [DEBUG]  		True: 715
2020-12-18 15:11:33,983 [DEBUG]  		Predicted: 320.50616625042585
2020-12-18 15:11:33,983 [DEBUG]  Q-Error was: 2.2308463152666413
2020-12-18 15:11:33,983 [DEBUG]  Predicting cardinality for query 1: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2005 AND t.production_year<2010;
2020-12-18 15:11:33,992 [DEBUG]  		Latency: 2.79ms
2020-12-18 15:11:33,992 [DEBUG]  		True: 9
2020-12-18 15:11:33,992 [DEBUG]  		Predicted: 2.2582495666733653
2020-12-18 15:11:33,992 [DEBUG]  Q-Error was: 3.98538767938653
2020-12-18 15:11:33,992 [DEBUG]  Predicting cardinality for query 2: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=112 AND mc.company_type_id=2 AND t.production_year>2010;
2020-12-18 15:11:33,999 [DEBUG]  		Latency: 2.17ms
2020-12-18 15:11:34,000 [DEBUG]  		True: 47
2020-12-18 15:11:34,000 [DEBUG]  		Predicted: 41.636610415851145
2020-12-18 15:11:34,000 [DEBUG]  Q-Error was: 1.1288142701958996
2020-12-18 15:11:34,000 [DEBUG]  Predicting cardinality for query 3: SELECT COUNT(*) FROM movie_companies mc,title t,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mi_idx.info_type_id=113 AND mc.company_type_id=2 AND t.production_year>2000;
2020-12-18 15:11:34,007 [DEBUG]  		Latency: 2.15ms
2020-12-18 15:11:34,007 [DEBUG]  		True: 16
2020-12-18 15:11:34,008 [DEBUG]  		Predicted: 6.146146568034706
2020-12-18 15:11:34,008 [DEBUG]  Q-Error was: 2.6032571502954194
2020-12-18 15:11:34,008 [DEBUG]  Predicting cardinality for query 4: SELECT COUNT(*) FROM movie_companies mc,title t,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mk.keyword_id=117;
