dataset, train_time_s
cols_2_distinct_10_corr_2_skew_2,149.3563643
cols_2_distinct_10_corr_2_skew_4,151.4228361
cols_2_distinct_10_corr_2_skew_6,145.6214242
cols_2_distinct_10_corr_2_skew_8,148.2146859
cols_2_distinct_10_corr_4_skew_2,152.3539529
cols_2_distinct_10_corr_4_skew_4,132.5908716
cols_2_distinct_10_corr_4_skew_6,135.789686
cols_2_distinct_10_corr_4_skew_8,137.6712501
cols_2_distinct_10_corr_6_skew_2,148.7720401
cols_2_distinct_10_corr_6_skew_4,134.6302638
cols_2_distinct_10_corr_6_skew_6,145.7867551
cols_2_distinct_10_corr_6_skew_8,137.1143155
cols_2_distinct_10_corr_8_skew_2,136.3153086
cols_2_distinct_10_corr_8_skew_4,135.8435259
cols_2_distinct_10_corr_8_skew_6,138.1334558
cols_2_distinct_10_corr_8_skew_8,135.7232699
cols_2_distinct_100_corr_2_skew_2,148.7176085
cols_2_distinct_100_corr_2_skew_4,140.0545845
cols_2_distinct_100_corr_2_skew_6,133.4382467
cols_2_distinct_100_corr_2_skew_8,140.6083972
cols_2_distinct_100_corr_4_skew_2,140.6860504
cols_2_distinct_100_corr_4_skew_4,136.7578652
cols_2_distinct_100_corr_4_skew_6,137.6913307
cols_2_distinct_100_corr_4_skew_8,133.0253792
cols_2_distinct_100_corr_6_skew_2,135.1059244
cols_2_distinct_100_corr_6_skew_4,145.293982
cols_2_distinct_100_corr_6_skew_6,134.9193749
cols_2_distinct_100_corr_6_skew_8,130.7994952
cols_2_distinct_100_corr_8_skew_2,139.8182113
cols_2_distinct_100_corr_8_skew_4,145.0090976
cols_2_distinct_100_corr_8_skew_6,135.7661169
cols_2_distinct_100_corr_8_skew_8,145.32675
cols_2_distinct_1000_corr_2_skew_2,131.6493225
cols_2_distinct_1000_corr_2_skew_4,152.9088461
cols_2_distinct_1000_corr_2_skew_6,134.779978
cols_2_distinct_1000_corr_2_skew_8,136.0377879
cols_2_distinct_1000_corr_4_skew_2,135.5473003
cols_2_distinct_1000_corr_4_skew_4,151.3803473
cols_2_distinct_1000_corr_4_skew_6,133.1144874
cols_2_distinct_1000_corr_4_skew_8,139.2309871
cols_2_distinct_1000_corr_6_skew_2,129.4120798
cols_2_distinct_1000_corr_6_skew_4,137.7823341
cols_2_distinct_1000_corr_6_skew_6,132.9171462
cols_2_distinct_1000_corr_6_skew_8,132.5442793
cols_2_distinct_1000_corr_8_skew_2,133.8813186
cols_2_distinct_1000_corr_8_skew_4,134.8796124
cols_2_distinct_1000_corr_8_skew_6,131.9327879
cols_2_distinct_1000_corr_8_skew_8,136.6031666
cols_2_distinct_10000_corr_2_skew_2,141.3298516
cols_2_distinct_10000_corr_2_skew_4,147.0098636
cols_2_distinct_10000_corr_2_skew_6,152.0227013
cols_2_distinct_10000_corr_2_skew_8,159.891572
cols_2_distinct_10000_corr_4_skew_2,153.904325
cols_2_distinct_10000_corr_4_skew_4,153.6835895
cols_2_distinct_10000_corr_4_skew_6,156.850405
cols_2_distinct_10000_corr_4_skew_8,140.9262936
cols_2_distinct_10000_corr_6_skew_2,147.0882587
cols_2_distinct_10000_corr_6_skew_4,155.3906372
cols_2_distinct_10000_corr_6_skew_6,130.5833714
cols_2_distinct_10000_corr_6_skew_8,151.6209164
cols_2_distinct_10000_corr_8_skew_2,149.0831242
cols_2_distinct_10000_corr_8_skew_4,142.5641494
cols_2_distinct_10000_corr_8_skew_6,131.5399981
cols_2_distinct_10000_corr_8_skew_8,132.1621482
cols_4_distinct_10_corr_2_skew_2,138.2367451
cols_4_distinct_10_corr_2_skew_4,140.4818161
cols_4_distinct_10_corr_2_skew_6,136.8188698
cols_4_distinct_10_corr_2_skew_8,153.0831401
cols_4_distinct_10_corr_4_skew_2,144.0036602
cols_4_distinct_10_corr_4_skew_4,151.1063321
cols_4_distinct_10_corr_4_skew_6,140.7659822
cols_4_distinct_10_corr_4_skew_8,147.1163363
cols_4_distinct_10_corr_6_skew_2,148.7153709
cols_4_distinct_10_corr_6_skew_4,143.3711388
cols_4_distinct_10_corr_6_skew_6,151.6368902
cols_4_distinct_10_corr_6_skew_8,143.2375298
cols_4_distinct_10_corr_8_skew_2,142.6503992
cols_4_distinct_10_corr_8_skew_4,145.9250448
cols_4_distinct_10_corr_8_skew_6,144.5883994
cols_4_distinct_10_corr_8_skew_8,143.5602064
cols_4_distinct_100_corr_2_skew_2,152.996006
cols_4_distinct_100_corr_2_skew_4,142.5290096
cols_4_distinct_100_corr_2_skew_6,142.0195134
cols_4_distinct_100_corr_2_skew_8,145.9911196
cols_4_distinct_100_corr_4_skew_2,146.6799724
cols_4_distinct_100_corr_4_skew_4,137.6507576
cols_4_distinct_100_corr_4_skew_6,130.8806312
cols_4_distinct_100_corr_4_skew_8,143.8707232
