err,est_card,true_card,query_dur_ms
3.4285714285714284,24,7,887037.6918315887
5.8,29,5,915831.084728241
5.666666666666667,17,3,580117.4547672272
1.1261146496815286,10205,11492,433246.0253238678
1.2703385548256696,1979,2514,347871.27327919006
9.0,9,1,918229.6824455261
19.375,155,8,920591.6063785553
1.150375939849624,798,918,855470.6625938416
1.19234360410831,2142,2554,613155.0090312958
5.0,5,1,425658.6067676544
1.0,0,1,857950.751543045
10.551724137931034,612,58,621018.143415451
42.5,85,2,440194.69380378723
1.0862470862470863,429,466,347657.0198535919
6.148148148148148,332,54,923218.6229228973
9.50909090909091,523,55,594318.58086586
3.857142857142857,27,7,428556.97107315063
5.666666666666667,68,12,899860.3522777557
15.0,135,9,858672.9154586792
3.6724137931034484,426,116,632761.7063522339
1.0162993039443156,51720,52563,918964.1761779785
8.585365853658537,352,41,927805.4947853088
23.0,23,1,862620.7990646362
1.0351754385964913,11400,11801,939499.344587326
1.0992118683356513,2157,2371,915075.6645202637
27.0,27,1,875033.6060523987
4.6,92,20,622069.2181587219
5.25,21,4,442394.78397369385
1.0,1,1,351664.2687320709
5.0,5,1,322000.328540802
1.155701754385965,456,527,281904.2537212372
1.1126841620626151,8688,9667,927721.4767932892
3.1458333333333335,151,48,857498.3661174774
1.0108398338567521,9978,9871,632304.0311336517
1.2621359223300972,260,206,850284.4183444977
18.5,37,2,628381.0529708862
3.0,3,1,443616.0490512848
33.333333333333336,100,3,351737.4703884125
7.25,29,4,908108.1643104553
12.0,12,1,601027.1995067596
71.0,213,3,936701.672077179
7.666666666666667,69,9,602750.7793903351
10.666666666666666,32,3,872729.4578552246
11.88,297,25,628718.834400177
1.0062936777146594,24469,24623,426039.95513916016
110.0,110,1,921650.0308513641
13.947368421052632,265,19,915012.3445987701
13.12,328,25,588982.9235076904
1.0524017467248907,229,241,923245.2721595764
4.25,34,8,583396.5964317322
14.625,117,8,422550.9686470032
1.4705882352941178,34,50,917946.9122886658
1.0005539143279172,10838,10832,915001.1320114136
20.944444444444443,377,18,581360.7711791992
1.263157894736842,665,840,424205.6782245636
52.0,52,1,344424.4911670685
2.5,15,6,302473.45519065857
1.0180940892641737,5908,5803,932498.560667038
3.2432432432432434,120,37,586490.0178909302
3.0,18,6,925289.3538475037
1.0109645673714247,44507,44995,600463.5374546051
1.0614630467571644,2652,2815,863885.1315975189
24.0,264,11,609178.8241863251
1.0426339285714286,8960,9342,423066.59054756165
6.0,6,1,344329.37955856323
10.857142857142858,76,7,867731.5986156464
4.0,24,6,630077.9898166656
4.214285714285714,59,14,917413.9070510864
1.9285714285714286,27,14,597098.2863903046
16.5,165,10,436294.01898384094
1.2300319488817892,313,385,866189.6991729736
10.75,86,8,625885.7169151306
1.103513770180437,1053,1162,861661.0119342804
15.9375,255,16,624599.7445583344
11.0,11,1,860707.3831558228
1.1111111111111112,36,40,603402.9588699341
1.0,3,3,424984.69710350037
2.727272727272727,30,11,338925.1084327698
5.777777777777778,312,54,294094.92111206055
5.428571428571429,38,7,932946.037530899
14.777777777777779,133,9,590741.6725158691
1.0858676207513416,27391,29743,417994.1153526306
1.0419287211740043,3339,3479,869001.4772415161
12.533333333333333,188,15,615073.9872455597
9.870967741935484,612,62,422079.1006088257
1.014343606697238,37508,38046,933054.2821884155
24.0,24,1,602783.0460071564
1.1096532333645737,1067,1184,869488.2085323334
3.440677966101695,203,59,634274.8243808746
9.851851851851851,266,27,871202.8923034668
15.608695652173912,359,23,627112.2803688049
1.0511408007767153,47379,49802,427494.1453933716
29.227272727272727,643,22,876745.0556755066
10.0,40,4,876202.6913166046
12.857142857142858,90,7,610335.6170654297
1.1318349547131834,2981,3374,429601.45568847656
2.0,6,3,871495.3720569611
7.7894736842105265,148,19,875782.8607559204
1.375,8,11,922756.5023899078
3.8333333333333335,23,6,599380.9630870819
